date,user,addr
2019-09-01 06:25:06,leonmfs,server.kit.co.id
2019-09-01 06:25:05,file,183.167.196.65
2019-09-01 06:24:46,varta,106.52.24.64
2019-09-01 06:24:44,varta,106.52.24.64
2019-09-01 06:24:36,jack,out02-tec.fastte
2019-09-01 06:24:34,jack,out02-tec.fastte
2019-09-01 06:23:42,hagiwara,ec2-13-126-42-80
2019-09-01 06:23:40,hagiwara,ec2-13-126-42-80
2019-09-01 06:23:19,nora,89.45.17.11
2019-09-01 06:23:17,nora,89.45.17.11
2019-09-01 06:22:22,mc,82.196.4.46
2019-09-01 06:22:20,mc,82.196.4.46
2019-09-01 06:22:18,root,162.243.164.246
2019-09-01 06:22:12,specialk,106.12.132.81
2019-09-01 06:22:10,specialk,106.12.132.81
2019-09-01 06:22:05,bitdefen,165.22.246.227
2019-09-01 06:22:03,bitdefen,165.22.246.227
2019-09-01 06:21:45,wwwadmin,182.61.104.218
2019-09-01 06:21:43,wwwadmin,182.61.104.218
2019-09-01 06:21:40,iso,ns3005786.ip-151
2019-09-01 06:21:38,hadoopus,ec2-13-126-42-80
2019-09-01 06:21:38,iso,ns3005786.ip-151
2019-09-01 06:21:36,lk,165.227.200.253
2019-09-01 06:21:36,hadoopus,ec2-13-126-42-80
2019-09-01 06:21:34,lk,165.227.200.253
2019-09-01 06:20:54,alexhack,221.140.151.235
2019-09-01 06:20:52,alexhack,221.140.151.235
2019-09-01 06:20:36,ira,183.167.196.65
2019-09-01 06:20:34,ira,183.167.196.65
2019-09-01 06:20:24,mpiuser,server.kit.co.id
2019-09-01 06:20:23,mpiuser,server.kit.co.id
2019-09-01 06:20:19,root,159.89.194.149
2019-09-01 06:19:42,ts3,out02-tec.fastte
2019-09-01 06:19:39,ts3,out02-tec.fastte
2019-09-01 06:19:35,hadoop12,ec2-13-126-42-80
2019-09-01 06:19:34,hadoop12,ec2-13-126-42-80
2019-09-01 06:19:22,ubuntu,89.45.17.11
2019-09-01 06:19:19,ubuntu,89.45.17.11
2019-09-01 06:18:42,swift,106.52.24.64
2019-09-01 06:18:40,swift,106.52.24.64
2019-09-01 06:18:23,marte,82.196.4.46
2019-09-01 06:18:21,marte,82.196.4.46
2019-09-01 06:18:08,divya,162.243.164.246
2019-09-01 06:18:06,divya,162.243.164.246
2019-09-01 06:17:59,ckwan,106.12.132.81
2019-09-01 06:17:56,ckwan,106.12.132.81
2019-09-01 06:17:43,root,165.227.200.253
2019-09-01 06:17:34,adm,165.22.246.227
2019-09-01 06:17:32,adm,165.22.246.227
2019-09-01 06:17:31,admin,42.115.138.180
2019-09-01 06:17:28,admin,42.115.138.180
2019-09-01 06:17:27,hadoop,ec2-13-126-42-80
2019-09-01 06:17:25,hadoop,ec2-13-126-42-80
2019-09-01 06:17:11,root,182.61.104.218
2019-09-01 06:16:03,ckwan,183.167.196.65
2019-09-01 06:16:01,ckwan,183.167.196.65
2019-09-01 06:15:55,tsroot,221.140.151.235
2019-09-01 06:15:53,tsroot,221.140.151.235
2019-09-01 06:15:38,universi,159.89.194.149
2019-09-01 06:15:36,universi,159.89.194.149
2019-09-01 06:15:35,luan,server.kit.co.id
2019-09-01 06:15:33,luan,server.kit.co.id
2019-09-01 06:15:18,hacker,ec2-13-126-42-80
2019-09-01 06:15:16,hacker,ec2-13-126-42-80
2019-09-01 06:15:07,student9,89.45.17.11
2019-09-01 06:15:05,student9,89.45.17.11
2019-09-01 06:14:43,jtrejo,out02-tec.fastte
2019-09-01 06:14:41,jtrejo,out02-tec.fastte
2019-09-01 06:14:26,matias,82.196.4.46
2019-09-01 06:14:24,matias,82.196.4.46
2019-09-01 06:14:06,oemedica,162.243.164.246
2019-09-01 06:14:04,oemedica,162.243.164.246
2019-09-01 06:13:50,ttt,165.227.200.253
2019-09-01 06:13:48,ttt,165.227.200.253
2019-09-01 06:13:43,lis,106.12.132.81
2019-09-01 06:13:41,lis,106.12.132.81
2019-09-01 06:13:17,habib,ec2-13-126-42-80
2019-09-01 06:13:14,habib,ec2-13-126-42-80
2019-09-01 06:13:05,cq,165.22.246.227
2019-09-01 06:13:03,cq,165.22.246.227
2019-09-01 06:12:44,ble,182.61.104.218
2019-09-01 06:12:42,ble,182.61.104.218
2019-09-01 06:12:33,zliu,106.52.24.64
2019-09-01 06:12:31,zliu,106.52.24.64
2019-09-01 06:12:18,aron,191.235-241-81.a
2019-09-01 06:12:15,aron,191.235-241-81.a
2019-09-01 06:11:39,ritter,183.167.196.65
2019-09-01 06:11:37,ritter,183.167.196.65
2019-09-01 06:11:13,ha,ec2-13-126-42-80
2019-09-01 06:11:11,ha,ec2-13-126-42-80
2019-09-01 06:11:10,tester,159.89.194.149
2019-09-01 06:11:08,abc@123,221.140.151.235
2019-09-01 06:11:08,tester,159.89.194.149
2019-09-01 06:11:06,abc@123,221.140.151.235
2019-09-01 06:11:01,stef,89.45.17.11
2019-09-01 06:10:59,deng123,server.kit.co.id
2019-09-01 06:10:59,stef,89.45.17.11
2019-09-01 06:10:56,deng123,server.kit.co.id
2019-09-01 06:10:25,root,82.196.4.46
2019-09-01 06:10:00,jboss,162.243.164.246
2019-09-01 06:09:58,jboss,162.243.164.246
2019-09-01 06:09:49,wi,165.227.200.253
2019-09-01 06:09:47,wi,165.227.200.253
2019-09-01 06:09:47,applmgr,out02-tec.fastte
2019-09-01 06:09:45,applmgr,out02-tec.fastte
2019-09-01 06:09:33,enzo,106.12.132.81
2019-09-01 06:09:31,enzo,106.12.132.81
2019-09-01 06:09:09,h@1t,ec2-13-126-42-80
2019-09-01 06:09:07,h@1t,ec2-13-126-42-80
2019-09-01 06:08:40,root,106.12.207.88
2019-09-01 06:08:24,sysadmin,165.22.246.227
2019-09-01 06:08:22,sysadmin,165.22.246.227
2019-09-01 06:08:22,admins,182.61.104.218
2019-09-01 06:08:20,admins,182.61.104.218
2019-09-01 06:07:10,h,ec2-13-126-42-80
2019-09-01 06:07:08,h,ec2-13-126-42-80
2019-09-01 06:07:04,marconi,183.167.196.65
2019-09-01 06:07:02,marconi,183.167.196.65
2019-09-01 06:06:58,test,89.45.17.11
2019-09-01 06:06:56,test,89.45.17.11
2019-09-01 06:06:36,luci,159.89.194.149
2019-09-01 06:06:34,luci,159.89.194.149
2019-09-01 06:06:29,user2,82.196.4.46
2019-09-01 06:06:26,user2,82.196.4.46
2019-09-01 06:06:26,test,42.115.138.180
